DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Unidade)
1987-01-01,1987,1,1,ACSP12_TELCH12,1987-01-01T00:00:00-02:00,391709.0
1987-02-01,1987,1,2,ACSP12_TELCH12,1987-02-01T00:00:00-02:00,411978.0
1987-03-01,1987,1,3,ACSP12_TELCH12,1987-03-01T00:00:00-03:00,458582.0
1987-04-01,1987,1,4,ACSP12_TELCH12,1987-04-01T00:00:00-03:00,516413.0
1987-05-01,1987,1,5,ACSP12_TELCH12,1987-05-01T00:00:00-03:00,600506.0
1987-06-01,1987,1,6,ACSP12_TELCH12,1987-06-01T00:00:00-03:00,610930.0
1987-07-01,1987,1,7,ACSP12_TELCH12,1987-07-01T00:00:00-03:00,699249.0
1987-08-01,1987,1,8,ACSP12_TELCH12,1987-08-01T00:00:00-03:00,740735.0
1987-09-01,1987,1,9,ACSP12_TELCH12,1987-09-01T00:00:00-03:00,680449.0
1987-10-01,1987,1,10,ACSP12_TELCH12,1987-10-01T00:00:00-03:00,743542.0
1987-11-01,1987,1,11,ACSP12_TELCH12,1987-11-01T00:00:00-03:00,748985.0
1987-12-01,1987,1,12,ACSP12_TELCH12,1987-12-01T00:00:00-02:00,1030887.0
1988-01-01,1988,1,1,ACSP12_TELCH12,1988-01-01T00:00:00-02:00,465416.0
1988-02-01,1988,1,2,ACSP12_TELCH12,1988-02-01T00:00:00-02:00,513626.0
1988-03-01,1988,1,3,ACSP12_TELCH12,1988-03-01T00:00:00-03:00,647992.0
1988-04-01,1988,1,4,ACSP12_TELCH12,1988-04-01T00:00:00-03:00,589980.0
1988-05-01,1988,1,5,ACSP12_TELCH12,1988-05-01T00:00:00-03:00,598396.0
1988-06-01,1988,1,6,ACSP12_TELCH12,1988-06-01T00:00:00-03:00,643059.0
1988-07-01,1988,1,7,ACSP12_TELCH12,1988-07-01T00:00:00-03:00,686483.0
1988-08-01,1988,1,8,ACSP12_TELCH12,1988-08-01T00:00:00-03:00,698086.0
1988-09-01,1988,1,9,ACSP12_TELCH12,1988-09-01T00:00:00-03:00,655184.0
1988-10-01,1988,1,10,ACSP12_TELCH12,1988-10-01T00:00:00-03:00,690811.0
1988-11-01,1988,1,11,ACSP12_TELCH12,1988-11-01T00:00:00-03:00,734315.0
1988-12-01,1988,1,12,ACSP12_TELCH12,1988-12-01T00:00:00-02:00,970256.0
1989-01-01,1989,1,1,ACSP12_TELCH12,1989-01-01T00:00:00-02:00,562644.0
1989-02-01,1989,1,2,ACSP12_TELCH12,1989-02-01T00:00:00-02:00,557167.0
1989-03-01,1989,1,3,ACSP12_TELCH12,1989-03-01T00:00:00-03:00,675483.0
1989-04-01,1989,1,4,ACSP12_TELCH12,1989-04-01T00:00:00-03:00,640155.0
1989-05-01,1989,1,5,ACSP12_TELCH12,1989-05-01T00:00:00-03:00,688178.0
1989-06-01,1989,1,6,ACSP12_TELCH12,1989-06-01T00:00:00-03:00,652892.0
1989-07-01,1989,1,7,ACSP12_TELCH12,1989-07-01T00:00:00-03:00,662294.0
1989-08-01,1989,1,8,ACSP12_TELCH12,1989-08-01T00:00:00-03:00,713852.0
1989-09-01,1989,1,9,ACSP12_TELCH12,1989-09-01T00:00:00-03:00,670559.0
1989-10-01,1989,1,10,ACSP12_TELCH12,1989-10-01T00:00:00-03:00,671159.0
1989-11-01,1989,1,11,ACSP12_TELCH12,1989-11-01T00:00:00-03:00,694832.0
1989-12-01,1989,1,12,ACSP12_TELCH12,1989-12-01T00:00:00-02:00,919895.0
1990-01-01,1990,1,1,ACSP12_TELCH12,1990-01-01T00:00:00-02:00,600798.0
1990-02-01,1990,1,2,ACSP12_TELCH12,1990-02-01T00:00:00-02:00,582230.0
1990-03-01,1990,1,3,ACSP12_TELCH12,1990-03-01T00:00:00-03:00,543931.0
1990-04-01,1990,1,4,ACSP12_TELCH12,1990-04-01T00:00:00-03:00,510010.0
1990-05-01,1990,1,5,ACSP12_TELCH12,1990-05-01T00:00:00-03:00,582754.0
1990-06-01,1990,1,6,ACSP12_TELCH12,1990-06-01T00:00:00-03:00,520900.0
1990-07-01,1990,1,7,ACSP12_TELCH12,1990-07-01T00:00:00-03:00,522201.0
1990-08-01,1990,1,8,ACSP12_TELCH12,1990-08-01T00:00:00-03:00,553166.0
1990-09-01,1990,1,9,ACSP12_TELCH12,1990-09-01T00:00:00-03:00,494696.0
1990-10-01,1990,1,10,ACSP12_TELCH12,1990-10-01T00:00:00-03:00,512581.0
1990-11-01,1990,1,11,ACSP12_TELCH12,1990-11-01T00:00:00-03:00,511890.0
1990-12-01,1990,1,12,ACSP12_TELCH12,1990-12-01T00:00:00-02:00,713966.0
1991-01-01,1991,1,1,ACSP12_TELCH12,1991-01-01T00:00:00-02:00,458573.0
1991-02-01,1991,1,2,ACSP12_TELCH12,1991-02-01T00:00:00-02:00,471326.0
1991-03-01,1991,1,3,ACSP12_TELCH12,1991-03-01T00:00:00-03:00,531087.0
1991-04-01,1991,1,4,ACSP12_TELCH12,1991-04-01T00:00:00-03:00,567505.0
1991-05-01,1991,1,5,ACSP12_TELCH12,1991-05-01T00:00:00-03:00,596271.0
1991-06-01,1991,1,6,ACSP12_TELCH12,1991-06-01T00:00:00-03:00,582499.0
1991-07-01,1991,1,7,ACSP12_TELCH12,1991-07-01T00:00:00-03:00,632708.0
1991-08-01,1991,1,8,ACSP12_TELCH12,1991-08-01T00:00:00-03:00,649364.0
1991-09-01,1991,1,9,ACSP12_TELCH12,1991-09-01T00:00:00-03:00,613784.0
1991-10-01,1991,1,10,ACSP12_TELCH12,1991-10-01T00:00:00-03:00,668499.0
1991-11-01,1991,1,11,ACSP12_TELCH12,1991-11-01T00:00:00-03:00,680101.0
1991-12-01,1991,1,12,ACSP12_TELCH12,1991-12-01T00:00:00-02:00,954773.0
1992-01-01,1992,1,1,ACSP12_TELCH12,1992-01-01T00:00:00-02:00,621079.0
1992-02-01,1992,1,2,ACSP12_TELCH12,1992-02-01T00:00:00-02:00,690161.0
1992-03-01,1992,1,3,ACSP12_TELCH12,1992-03-01T00:00:00-03:00,662562.0
1992-04-01,1992,1,4,ACSP12_TELCH12,1992-04-01T00:00:00-03:00,695359.0
1992-05-01,1992,1,5,ACSP12_TELCH12,1992-05-01T00:00:00-03:00,730718.0
1992-06-01,1992,1,6,ACSP12_TELCH12,1992-06-01T00:00:00-03:00,749091.0
1992-07-01,1992,1,7,ACSP12_TELCH12,1992-07-01T00:00:00-03:00,793893.0
1992-08-01,1992,1,8,ACSP12_TELCH12,1992-08-01T00:00:00-03:00,769743.0
1992-09-01,1992,1,9,ACSP12_TELCH12,1992-09-01T00:00:00-03:00,726887.0
1992-10-01,1992,1,10,ACSP12_TELCH12,1992-10-01T00:00:00-03:00,771175.0
1992-11-01,1992,1,11,ACSP12_TELCH12,1992-11-01T00:00:00-03:00,770847.0
1992-12-01,1992,1,12,ACSP12_TELCH12,1992-12-01T00:00:00-02:00,986898.0
1993-01-01,1993,1,1,ACSP12_TELCH12,1993-01-01T00:00:00-02:00,620860.0
1993-02-01,1993,1,2,ACSP12_TELCH12,1993-02-01T00:00:00-02:00,638357.0
1993-03-01,1993,1,3,ACSP12_TELCH12,1993-03-01T00:00:00-03:00,764204.0
1993-04-01,1993,1,4,ACSP12_TELCH12,1993-04-01T00:00:00-03:00,725608.0
1993-05-01,1993,1,5,ACSP12_TELCH12,1993-05-01T00:00:00-03:00,793100.0
1993-06-01,1993,1,6,ACSP12_TELCH12,1993-06-01T00:00:00-03:00,787521.0
1993-07-01,1993,1,7,ACSP12_TELCH12,1993-07-01T00:00:00-03:00,823828.0
1993-08-01,1993,1,8,ACSP12_TELCH12,1993-08-01T00:00:00-03:00,761651.0
1993-09-01,1993,1,9,ACSP12_TELCH12,1993-09-01T00:00:00-03:00,751135.0
1993-10-01,1993,1,10,ACSP12_TELCH12,1993-10-01T00:00:00-03:00,815532.0
1993-11-01,1993,1,11,ACSP12_TELCH12,1993-11-01T00:00:00-03:00,793629.0
1993-12-01,1993,1,12,ACSP12_TELCH12,1993-12-01T00:00:00-02:00,1068779.0
1994-01-01,1994,1,1,ACSP12_TELCH12,1994-01-01T00:00:00-02:00,693379.0
1994-02-01,1994,1,2,ACSP12_TELCH12,1994-02-01T00:00:00-02:00,675429.0
1994-03-01,1994,1,3,ACSP12_TELCH12,1994-03-01T00:00:00-03:00,821118.0
1994-04-01,1994,1,4,ACSP12_TELCH12,1994-04-01T00:00:00-03:00,724867.0
1994-05-01,1994,1,5,ACSP12_TELCH12,1994-05-01T00:00:00-03:00,755139.0
1994-06-01,1994,1,6,ACSP12_TELCH12,1994-06-01T00:00:00-03:00,715895.0
1994-07-01,1994,1,7,ACSP12_TELCH12,1994-07-01T00:00:00-03:00,641897.0
1994-08-01,1994,1,8,ACSP12_TELCH12,1994-08-01T00:00:00-03:00,735412.0
1994-09-01,1994,1,9,ACSP12_TELCH12,1994-09-01T00:00:00-03:00,704602.0
1994-10-01,1994,1,10,ACSP12_TELCH12,1994-10-01T00:00:00-03:00,691110.0
1994-11-01,1994,1,11,ACSP12_TELCH12,1994-11-01T00:00:00-03:00,685383.0
1994-12-01,1994,1,12,ACSP12_TELCH12,1994-12-01T00:00:00-02:00,889932.0
1995-01-01,1995,1,1,ACSP12_TELCH12,1995-01-01T00:00:00-02:00,617612.0
1995-02-01,1995,1,2,ACSP12_TELCH12,1995-02-01T00:00:00-02:00,628979.0
1995-03-01,1995,1,3,ACSP12_TELCH12,1995-03-01T00:00:00-03:00,739264.0
1995-04-01,1995,1,4,ACSP12_TELCH12,1995-04-01T00:00:00-03:00,685062.0
1995-05-01,1995,1,5,ACSP12_TELCH12,1995-05-01T00:00:00-03:00,821139.0
1995-06-01,1995,1,6,ACSP12_TELCH12,1995-06-01T00:00:00-03:00,832777.0
1995-07-01,1995,1,7,ACSP12_TELCH12,1995-07-01T00:00:00-03:00,943862.0
1995-08-01,1995,1,8,ACSP12_TELCH12,1995-08-01T00:00:00-03:00,949753.0
1995-09-01,1995,1,9,ACSP12_TELCH12,1995-09-01T00:00:00-03:00,962179.0
1995-10-01,1995,1,10,ACSP12_TELCH12,1995-10-01T00:00:00-03:00,997978.0
1995-11-01,1995,1,11,ACSP12_TELCH12,1995-11-01T00:00:00-03:00,1005292.0
1995-12-01,1995,1,12,ACSP12_TELCH12,1995-12-01T00:00:00-02:00,1319181.0
1996-01-01,1996,1,1,ACSP12_TELCH12,1996-01-01T00:00:00-02:00,865347.0
1996-02-01,1996,1,2,ACSP12_TELCH12,1996-02-01T00:00:00-02:00,869240.0
1996-03-01,1996,1,3,ACSP12_TELCH12,1996-03-01T00:00:00-03:00,976301.0
1996-04-01,1996,1,4,ACSP12_TELCH12,1996-04-01T00:00:00-03:00,939004.0
1996-05-01,1996,1,5,ACSP12_TELCH12,1996-05-01T00:00:00-03:00,1060190.0
1996-06-01,1996,1,6,ACSP12_TELCH12,1996-06-01T00:00:00-03:00,968390.0
1996-07-01,1996,1,7,ACSP12_TELCH12,1996-07-01T00:00:00-03:00,1115510.0
1996-08-01,1996,1,8,ACSP12_TELCH12,1996-08-01T00:00:00-03:00,1072689.0
1996-09-01,1996,1,9,ACSP12_TELCH12,1996-09-01T00:00:00-03:00,975591.0
1996-10-01,1996,1,10,ACSP12_TELCH12,1996-10-01T00:00:00-03:00,1078046.0
1996-11-01,1996,1,11,ACSP12_TELCH12,1996-11-01T00:00:00-03:00,1116081.0
1996-12-01,1996,1,12,ACSP12_TELCH12,1996-12-01T00:00:00-02:00,1369878.0
1997-01-01,1997,1,1,ACSP12_TELCH12,1997-01-01T00:00:00-02:00,1005710.0
1997-02-01,1997,1,2,ACSP12_TELCH12,1997-02-01T00:00:00-02:00,947702.0
1997-03-01,1997,1,3,ACSP12_TELCH12,1997-03-01T00:00:00-03:00,1148796.0
1997-04-01,1997,1,4,ACSP12_TELCH12,1997-04-01T00:00:00-03:00,1166410.0
1997-05-01,1997,1,5,ACSP12_TELCH12,1997-05-01T00:00:00-03:00,1250983.0
1997-06-01,1997,1,6,ACSP12_TELCH12,1997-06-01T00:00:00-03:00,1221991.0
1997-07-01,1997,1,7,ACSP12_TELCH12,1997-07-01T00:00:00-03:00,1447852.0
1997-08-01,1997,1,8,ACSP12_TELCH12,1997-08-01T00:00:00-03:00,1445026.0
1997-09-01,1997,1,9,ACSP12_TELCH12,1997-09-01T00:00:00-03:00,1468549.0
1997-10-01,1997,1,10,ACSP12_TELCH12,1997-10-01T00:00:00-03:00,1646344.0
1997-11-01,1997,1,11,ACSP12_TELCH12,1997-11-01T00:00:00-03:00,1552126.0
1997-12-01,1997,1,12,ACSP12_TELCH12,1997-12-01T00:00:00-02:00,2085486.0
1998-01-01,1998,1,1,ACSP12_TELCH12,1998-01-01T00:00:00-02:00,1493526.0
1998-02-01,1998,1,2,ACSP12_TELCH12,1998-02-01T00:00:00-02:00,1593850.0
1998-03-01,1998,1,3,ACSP12_TELCH12,1998-03-01T00:00:00-03:00,1593850.0
1998-04-01,1998,1,4,ACSP12_TELCH12,1998-04-01T00:00:00-03:00,1555414.0
1998-05-01,1998,1,5,ACSP12_TELCH12,1998-05-01T00:00:00-03:00,1738196.0
1998-06-01,1998,1,6,ACSP12_TELCH12,1998-06-01T00:00:00-03:00,1546219.0
1998-07-01,1998,1,7,ACSP12_TELCH12,1998-07-01T00:00:00-03:00,1625757.0
1998-08-01,1998,1,8,ACSP12_TELCH12,1998-08-01T00:00:00-03:00,1670546.0
1998-09-01,1998,1,9,ACSP12_TELCH12,1998-09-01T00:00:00-03:00,1579029.0
1998-10-01,1998,1,10,ACSP12_TELCH12,1998-10-01T00:00:00-03:00,1729439.0
1998-11-01,1998,1,11,ACSP12_TELCH12,1998-11-01T00:00:00-03:00,1599048.0
1998-12-01,1998,1,12,ACSP12_TELCH12,1998-12-01T00:00:00-02:00,2160602.0
1999-01-01,1999,1,1,ACSP12_TELCH12,1999-01-01T00:00:00-02:00,1412010.0
1999-02-01,1999,1,2,ACSP12_TELCH12,1999-02-01T00:00:00-02:00,1267466.0
1999-03-01,1999,1,3,ACSP12_TELCH12,1999-03-01T00:00:00-03:00,1436259.0
1999-04-01,1999,1,4,ACSP12_TELCH12,1999-04-01T00:00:00-03:00,1323703.0
1999-05-01,1999,1,5,ACSP12_TELCH12,1999-05-01T00:00:00-03:00,1534747.0
1999-06-01,1999,1,6,ACSP12_TELCH12,1999-06-01T00:00:00-03:00,1445887.0
1999-07-01,1999,1,7,ACSP12_TELCH12,1999-07-01T00:00:00-03:00,1486937.0
1999-08-01,1999,1,8,ACSP12_TELCH12,1999-08-01T00:00:00-03:00,1493648.0
1999-09-01,1999,1,9,ACSP12_TELCH12,1999-09-01T00:00:00-03:00,1429452.0
1999-10-01,1999,1,10,ACSP12_TELCH12,1999-10-01T00:00:00-03:00,1510673.0
1999-11-01,1999,1,11,ACSP12_TELCH12,1999-11-01T00:00:00-03:00,1503654.0
1999-12-01,1999,1,12,ACSP12_TELCH12,1999-12-01T00:00:00-02:00,1961455.0
2000-01-01,2000,1,1,ACSP12_TELCH12,2000-01-01T00:00:00-02:00,1303162.0
2000-02-01,2000,1,2,ACSP12_TELCH12,2000-02-01T00:00:00-02:00,1395497.0
2000-03-01,2000,1,3,ACSP12_TELCH12,2000-03-01T00:00:00-03:00,1455637.0
2000-04-01,2000,1,4,ACSP12_TELCH12,2000-04-01T00:00:00-03:00,1455754.0
2000-05-01,2000,1,5,ACSP12_TELCH12,2000-05-01T00:00:00-03:00,1638495.0
2000-06-01,2000,1,6,ACSP12_TELCH12,2000-06-01T00:00:00-03:00,1623429.0
2000-07-01,2000,1,7,ACSP12_TELCH12,2000-07-01T00:00:00-03:00,1642394.0
2000-08-01,2000,1,8,ACSP12_TELCH12,2000-08-01T00:00:00-03:00,1723035.0
2000-09-01,2000,1,9,ACSP12_TELCH12,2000-09-01T00:00:00-03:00,1575551.0
2000-10-01,2000,1,10,ACSP12_TELCH12,2000-10-01T00:00:00-03:00,1570823.0
2000-11-01,2000,1,11,ACSP12_TELCH12,2000-11-01T00:00:00-03:00,1679977.0
2000-12-01,2000,1,12,ACSP12_TELCH12,2000-12-01T00:00:00-02:00,2017352.0
2001-01-01,2001,1,1,ACSP12_TELCH12,2001-01-01T00:00:00-02:00,1417592.0
2001-02-01,2001,1,2,ACSP12_TELCH12,2001-02-01T00:00:00-02:00,1396098.0
2001-03-01,2001,1,3,ACSP12_TELCH12,2001-03-01T00:00:00-03:00,1606760.0
2001-04-01,2001,1,4,ACSP12_TELCH12,2001-04-01T00:00:00-03:00,1476134.0
2001-05-01,2001,1,5,ACSP12_TELCH12,2001-05-01T00:00:00-03:00,1708975.0
2001-06-01,2001,1,6,ACSP12_TELCH12,2001-06-01T00:00:00-03:00,1699800.0
2001-07-01,2001,1,7,ACSP12_TELCH12,2001-07-01T00:00:00-03:00,1661274.0
2001-08-01,2001,1,8,ACSP12_TELCH12,2001-08-01T00:00:00-03:00,1717361.0
2001-09-01,2001,1,9,ACSP12_TELCH12,2001-09-01T00:00:00-03:00,1630545.0
2001-10-01,2001,1,10,ACSP12_TELCH12,2001-10-01T00:00:00-03:00,1598981.0
2001-11-01,2001,1,11,ACSP12_TELCH12,2001-11-01T00:00:00-03:00,1678460.0
2001-12-01,2001,1,12,ACSP12_TELCH12,2001-12-01T00:00:00-02:00,2126224.0
2002-01-01,2002,1,1,ACSP12_TELCH12,2002-01-01T00:00:00-02:00,1557001.0
2002-02-01,2002,1,2,ACSP12_TELCH12,2002-02-01T00:00:00-02:00,1434850.0
2002-03-01,2002,1,3,ACSP12_TELCH12,2002-03-01T00:00:00-03:00,1576014.0
2002-04-01,2002,1,4,ACSP12_TELCH12,2002-04-01T00:00:00-03:00,1691926.0
2002-05-01,2002,1,5,ACSP12_TELCH12,2002-05-01T00:00:00-03:00,1812923.0
2002-06-01,2002,1,6,ACSP12_TELCH12,2002-06-01T00:00:00-03:00,1811286.0
2002-07-01,2002,1,7,ACSP12_TELCH12,2002-07-01T00:00:00-03:00,1951258.0
2002-08-01,2002,1,8,ACSP12_TELCH12,2002-08-01T00:00:00-03:00,2029528.0
2002-09-01,2002,1,9,ACSP12_TELCH12,2002-09-01T00:00:00-03:00,1882867.0
2002-10-01,2002,1,10,ACSP12_TELCH12,2002-10-01T00:00:00-03:00,2003833.0
2002-11-01,2002,1,11,ACSP12_TELCH12,2002-11-01T00:00:00-03:00,1951594.0
2002-12-01,2002,1,12,ACSP12_TELCH12,2002-12-01T00:00:00-02:00,2148707.0
2003-01-01,2003,1,1,ACSP12_TELCH12,2003-01-01T00:00:00-02:00,1630761.0
2003-02-01,2003,1,2,ACSP12_TELCH12,2003-02-01T00:00:00-02:00,1505161.0
2003-03-01,2003,1,3,ACSP12_TELCH12,2003-03-01T00:00:00-03:00,1539324.0
2003-04-01,2003,1,4,ACSP12_TELCH12,2003-04-01T00:00:00-03:00,1581769.0
2003-05-01,2003,1,5,ACSP12_TELCH12,2003-05-01T00:00:00-03:00,1739270.0
2003-06-01,2003,1,6,ACSP12_TELCH12,2003-06-01T00:00:00-03:00,1735346.0
2003-07-01,2003,1,7,ACSP12_TELCH12,2003-07-01T00:00:00-03:00,1862412.0
2003-08-01,2003,1,8,ACSP12_TELCH12,2003-08-01T00:00:00-03:00,1917836.0
2003-09-01,2003,1,9,ACSP12_TELCH12,2003-09-01T00:00:00-03:00,1831443.0
2003-10-01,2003,1,10,ACSP12_TELCH12,2003-10-01T00:00:00-03:00,1996733.0
2003-11-01,2003,1,11,ACSP12_TELCH12,2003-11-01T00:00:00-03:00,1946062.0
2003-12-01,2003,1,12,ACSP12_TELCH12,2003-12-01T00:00:00-02:00,2279553.0
