DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Indice)
2013-01-01,2013,1,1,DIMAC_ICTI1,2013-01-01T00:00:00-02:00,100.27642438834
2013-02-01,2013,1,2,DIMAC_ICTI1,2013-02-01T00:00:00-02:00,100.70727810733
2013-03-01,2013,1,3,DIMAC_ICTI1,2013-03-01T00:00:00-03:00,101.157267887765
2013-04-01,2013,1,4,DIMAC_ICTI1,2013-04-01T00:00:00-03:00,101.580770794028
2013-05-01,2013,1,5,DIMAC_ICTI1,2013-05-01T00:00:00-03:00,102.191556630547
2013-06-01,2013,1,6,DIMAC_ICTI1,2013-06-01T00:00:00-03:00,102.871063822577
2013-07-01,2013,1,7,DIMAC_ICTI1,2013-07-01T00:00:00-03:00,103.309911453345
2013-08-01,2013,1,8,DIMAC_ICTI1,2013-08-01T00:00:00-03:00,103.915473430904
2013-09-01,2013,1,9,DIMAC_ICTI1,2013-09-01T00:00:00-03:00,104.417958518921
2013-10-01,2013,1,10,DIMAC_ICTI1,2013-10-01T00:00:00-03:00,104.909180124794
2013-11-01,2013,1,11,DIMAC_ICTI1,2013-11-01T00:00:00-02:00,105.645744196857
2013-12-01,2013,1,12,DIMAC_ICTI1,2013-12-01T00:00:00-02:00,106.642446675177
2014-01-01,2014,1,1,DIMAC_ICTI1,2014-01-01T00:00:00-02:00,106.972434435229
2014-02-01,2014,1,2,DIMAC_ICTI1,2014-02-01T00:00:00-02:00,107.125993055317
2014-03-01,2014,1,3,DIMAC_ICTI1,2014-03-01T00:00:00-03:00,107.610100168349
2014-04-01,2014,1,4,DIMAC_ICTI1,2014-04-01T00:00:00-03:00,107.618423533317
2014-05-01,2014,1,5,DIMAC_ICTI1,2014-05-01T00:00:00-03:00,107.670840923291
2014-06-01,2014,1,6,DIMAC_ICTI1,2014-06-01T00:00:00-03:00,107.847609107073
2014-07-01,2014,1,7,DIMAC_ICTI1,2014-07-01T00:00:00-03:00,107.971795587846
2014-08-01,2014,1,8,DIMAC_ICTI1,2014-08-01T00:00:00-03:00,108.450127194979
2014-09-01,2014,1,9,DIMAC_ICTI1,2014-09-01T00:00:00-03:00,108.761423201371
2014-10-01,2014,1,10,DIMAC_ICTI1,2014-10-01T00:00:00-03:00,108.701976187789
2014-11-01,2014,1,11,DIMAC_ICTI1,2014-11-01T00:00:00-02:00,108.628914573899
2014-12-01,2014,1,12,DIMAC_ICTI1,2014-12-01T00:00:00-02:00,108.712253848175
2015-01-01,2015,1,1,DIMAC_ICTI1,2015-01-01T00:00:00-02:00,109.617509197198
2015-02-01,2015,1,2,DIMAC_ICTI1,2015-02-01T00:00:00-02:00,110.386741180444
2015-03-01,2015,1,3,DIMAC_ICTI1,2015-03-01T00:00:00-03:00,111.028702338971
2015-04-01,2015,1,4,DIMAC_ICTI1,2015-04-01T00:00:00-03:00,111.733656024902
2015-05-01,2015,1,5,DIMAC_ICTI1,2015-05-01T00:00:00-03:00,112.773081503984
2015-06-01,2015,1,6,DIMAC_ICTI1,2015-06-01T00:00:00-03:00,113.228983456384
2015-07-01,2015,1,7,DIMAC_ICTI1,2015-07-01T00:00:00-03:00,114.026395705212
2015-08-01,2015,1,8,DIMAC_ICTI1,2015-08-01T00:00:00-03:00,114.502247513318
2015-09-01,2015,1,9,DIMAC_ICTI1,2015-09-01T00:00:00-03:00,115.80202970705
2015-10-01,2015,1,10,DIMAC_ICTI1,2015-10-01T00:00:00-03:00,117.541594317389
2015-11-01,2015,1,11,DIMAC_ICTI1,2015-11-01T00:00:00-02:00,118.856787688041
2015-12-01,2015,1,12,DIMAC_ICTI1,2015-12-01T00:00:00-02:00,120.151408647264
2016-01-01,2016,1,1,DIMAC_ICTI1,2016-01-01T00:00:00-02:00,121.53034581916
2016-02-01,2016,1,2,DIMAC_ICTI1,2016-02-01T00:00:00-02:00,122.455002453722
2016-03-01,2016,1,3,DIMAC_ICTI1,2016-03-01T00:00:00-03:00,123.628354713808
2016-04-01,2016,1,4,DIMAC_ICTI1,2016-04-01T00:00:00-03:00,124.367597171746
2016-05-01,2016,1,5,DIMAC_ICTI1,2016-05-01T00:00:00-03:00,124.842253658101
2016-06-01,2016,1,6,DIMAC_ICTI1,2016-06-01T00:00:00-03:00,125.474631835222
2016-07-01,2016,1,7,DIMAC_ICTI1,2016-07-01T00:00:00-03:00,125.862173520367
2016-08-01,2016,1,8,DIMAC_ICTI1,2016-08-01T00:00:00-03:00,126.501257408784
2016-09-01,2016,1,9,DIMAC_ICTI1,2016-09-01T00:00:00-03:00,126.88409819307
2016-10-01,2016,1,10,DIMAC_ICTI1,2016-10-01T00:00:00-03:00,127.384016327794
2016-11-01,2016,1,11,DIMAC_ICTI1,2016-11-01T00:00:00-02:00,127.879184250246
2016-12-01,2016,1,12,DIMAC_ICTI1,2016-12-01T00:00:00-02:00,128.66360106713
2017-01-01,2017,1,1,DIMAC_ICTI1,2017-01-01T00:00:00-02:00,129.556726800117
2017-02-01,2017,1,2,DIMAC_ICTI1,2017-02-01T00:00:00-02:00,130.323087581042
2017-03-01,2017,1,3,DIMAC_ICTI1,2017-03-01T00:00:00-03:00,130.979027409087
2017-04-01,2017,1,4,DIMAC_ICTI1,2017-04-01T00:00:00-03:00,131.421032225544
2017-05-01,2017,1,5,DIMAC_ICTI1,2017-05-01T00:00:00-03:00,131.843365863952
2017-06-01,2017,1,6,DIMAC_ICTI1,2017-06-01T00:00:00-03:00,132.228494842774
2017-07-01,2017,1,7,DIMAC_ICTI1,2017-07-01T00:00:00-03:00,132.762519468466
2017-08-01,2017,1,8,DIMAC_ICTI1,2017-08-01T00:00:00-03:00,133.450269094165
2017-09-01,2017,1,9,DIMAC_ICTI1,2017-09-01T00:00:00-03:00,134.098517923207
2017-10-01,2017,1,10,DIMAC_ICTI1,2017-10-01T00:00:00-03:00,134.783885516045
2017-11-01,2017,1,11,DIMAC_ICTI1,2017-11-01T00:00:00-02:00,135.530068721098
2017-12-01,2017,1,12,DIMAC_ICTI1,2017-12-01T00:00:00-02:00,136.426943174292
2018-01-01,2018,1,1,DIMAC_ICTI1,2018-01-01T00:00:00-02:00,136.841220177679
2018-02-01,2018,1,2,DIMAC_ICTI1,2018-02-01T00:00:00-02:00,136.721277797882
2018-03-01,2018,1,3,DIMAC_ICTI1,2018-03-01T00:00:00-03:00,136.893171672757
2018-04-01,2018,1,4,DIMAC_ICTI1,2018-04-01T00:00:00-03:00,137.116166752164
2018-05-01,2018,1,5,DIMAC_ICTI1,2018-05-01T00:00:00-03:00,137.690247841129
2018-06-01,2018,1,6,DIMAC_ICTI1,2018-06-01T00:00:00-03:00,138.616344358823
2018-07-01,2018,1,7,DIMAC_ICTI1,2018-07-01T00:00:00-03:00,138.67320212456
2018-08-01,2018,1,8,DIMAC_ICTI1,2018-08-01T00:00:00-03:00,138.90227355301
2018-09-01,2018,1,9,DIMAC_ICTI1,2018-09-01T00:00:00-03:00,139.241936680884
2018-10-01,2018,1,10,DIMAC_ICTI1,2018-10-01T00:00:00-03:00,139.947634041056
2018-11-01,2018,1,11,DIMAC_ICTI1,2018-11-01T00:00:00-03:00,139.935836348194
2018-12-01,2018,1,12,DIMAC_ICTI1,2018-12-01T00:00:00-02:00,139.942584459493
2019-01-01,2019,1,1,DIMAC_ICTI1,2019-01-01T00:00:00-02:00,140.893959827994
2019-02-01,2019,1,2,DIMAC_ICTI1,2019-02-01T00:00:00-02:00,141.828278733492
2019-03-01,2019,1,3,DIMAC_ICTI1,2019-03-01T00:00:00-03:00,142.86
2019-04-01,2019,1,4,DIMAC_ICTI1,2019-04-01T00:00:00-03:00,143.610660860209
2019-05-01,2019,1,5,DIMAC_ICTI1,2019-05-01T00:00:00-03:00,144.245312424305
2019-06-01,2019,1,6,DIMAC_ICTI1,2019-06-01T00:00:00-03:00,145.059022816168
2019-07-01,2019,1,7,DIMAC_ICTI1,2019-07-01T00:00:00-03:00,145.655107915938
2019-08-01,2019,1,8,DIMAC_ICTI1,2019-08-01T00:00:00-03:00,146.213392414763
2019-09-01,2019,1,9,DIMAC_ICTI1,2019-09-01T00:00:00-03:00,146.986574905287
2019-10-01,2019,1,10,DIMAC_ICTI1,2019-10-01T00:00:00-03:00,147.373202902528
2019-11-01,2019,1,11,DIMAC_ICTI1,2019-11-01T00:00:00-03:00,147.741868711056
2019-12-01,2019,1,12,DIMAC_ICTI1,2019-12-01T00:00:00-03:00,148.6745
2020-01-01,2020,1,1,DIMAC_ICTI1,2020-01-01T00:00:00-03:00,149.3306
2020-02-01,2020,1,2,DIMAC_ICTI1,2020-02-01T00:00:00-03:00,149.9091
2020-03-01,2020,1,3,DIMAC_ICTI1,2020-03-01T00:00:00-03:00,151.006
2020-04-01,2020,1,4,DIMAC_ICTI1,2020-04-01T00:00:00-03:00,151.9477
2020-05-01,2020,1,5,DIMAC_ICTI1,2020-05-01T00:00:00-03:00,152.338572554644
2020-06-01,2020,1,6,DIMAC_ICTI1,2020-06-01T00:00:00-03:00,152.835956158535
2020-07-01,2020,1,7,DIMAC_ICTI1,2020-07-01T00:00:00-03:00,154.3033843181
2020-08-01,2020,1,8,DIMAC_ICTI1,2020-08-01T00:00:00-03:00,155.268916513767
2020-09-01,2020,1,9,DIMAC_ICTI1,2020-09-01T00:00:00-03:00,157.169643503853
2020-10-01,2020,1,10,DIMAC_ICTI1,2020-10-01T00:00:00-03:00,158.205566694977
2020-11-01,2020,1,11,DIMAC_ICTI1,2020-11-01T00:00:00-03:00,159.268764327815
